Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
resnet50,1,2,resnet50_config_32,5:GPU,1,Yes,383.8,6.5
resnet50,1,1,resnet50_config_32,5:GPU,1,Yes,365.1,4.2
resnet50,1,4,resnet50_config_24,4:GPU,1,Yes,567.4,11.0
resnet50,1,2,resnet50_config_24,4:GPU,1,Yes,558.5,5.6
resnet50,1,8,resnet50_config_24,4:GPU,1,Yes,551.7,22.1
resnet50,1,16,resnet50_config_24,4:GPU,1,Yes,496.0,47.7
resnet50,1,1,resnet50_config_24,4:GPU,1,Yes,401.1,3.4
resnet50,1,16,resnet50_config_8,2:GPU,1,Yes,560.4,46.3
resnet50,1,8,resnet50_config_8,2:GPU,1,Yes,550.1,24.2
resnet50,1,2,resnet50_config_8,2:GPU,1,Yes,537.5,6.1
resnet50,1,4,resnet50_config_8,2:GPU,1,Yes,486.3,15.6
resnet50,1,1,resnet50_config_8,2:GPU,1,Yes,327.7,4.4

