Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_7,1:GPU,Yes,1401.9,63.5,55.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_7,1:GPU,Yes,1401.9,50.7,39.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_7,1:GPU,Yes,1401.9,54.8,48.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_7,1:GPU,Yes,1401.9,45.7,42.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_7,1:GPU,Yes,1401.9,79.8,46.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_7,1:GPU,Yes,1401.9,56.7,41.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_15,2:GPU,Yes,2047.9,79.3,73.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_15,2:GPU,Yes,2047.9,83.8,77.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_15,2:GPU,Yes,2047.9,76.7,65.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_15,2:GPU,Yes,2047.9,76.2,56.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_15,2:GPU,Yes,2047.9,52.3,51.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_15,2:GPU,Yes,2047.9,68.2,54.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_15,2:GPU,Yes,2047.9,43.0,42.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_15,2:GPU,Yes,2047.9,53.7,39.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_15,2:GPU,Yes,2047.9,44.0,34.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_15,2:GPU,Yes,2047.9,53.0,38.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_22,3:GPU,Yes,2578.4,94.0,84.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_22,3:GPU,Yes,2578.4,83.7,80.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_22,3:GPU,Yes,2578.4,78.5,75.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_22,3:GPU,Yes,2578.4,94.7,77.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_22,3:GPU,Yes,2578.4,68.8,60.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_22,3:GPU,Yes,2578.4,67.0,55.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_22,3:GPU,Yes,2578.4,45.0,47.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_22,3:GPU,Yes,2578.4,83.5,48.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_22,3:GPU,Yes,2578.4,85.3,47.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_22,3:GPU,Yes,2578.4,57.8,40.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_13,2:GPU,Yes,1934.6,98.0,84.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_13,2:GPU,Yes,1934.6,90.0,76.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_13,2:GPU,Yes,1934.6,94.7,81.6
