Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_20,3:GPU,Yes,2490.4,61.5,40.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_20,3:GPU,Yes,2490.4,51.3,39.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_23,3:GPU,Yes,2691.7,91.5,82.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_23,3:GPU,Yes,2691.7,79.3,66.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_23,3:GPU,Yes,2691.7,71.3,59.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_23,3:GPU,Yes,2691.7,55.8,51.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_23,3:GPU,Yes,2691.7,88.0,73.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_23,3:GPU,Yes,2691.7,57.8,60.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_23,3:GPU,Yes,2691.7,69.0,55.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_23,3:GPU,Yes,2691.7,68.0,48.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_23,3:GPU,Yes,2691.7,65.8,48.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_23,3:GPU,Yes,2691.7,80.3,46.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_23,3:GPU,Yes,2691.7,60.0,40.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_27,4:GPU,Yes,3052.4,90.3,75.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_27,4:GPU,Yes,3052.4,89.0,76.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_27,4:GPU,Yes,3052.4,93.7,76.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_27,4:GPU,Yes,3052.4,45.0,50.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_27,4:GPU,Yes,3052.4,54.5,59.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_27,4:GPU,Yes,3052.4,65.2,52.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_27,4:GPU,Yes,3052.4,59.0,44.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_27,4:GPU,Yes,3052.4,60.2,42.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_27,4:GPU,Yes,3052.4,57.0,40.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_27,4:GPU,Yes,3052.4,64.2,40.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_11,2:GPU,Yes,1905.3,92.3,75.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_11,2:GPU,Yes,1905.3,91.2,75.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_11,2:GPU,Yes,1905.3,89.5,73.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_11,2:GPU,Yes,1905.3,67.5,63.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_11,2:GPU,Yes,1905.3,66.2,55.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_11,2:GPU,Yes,1905.3,55.0,46.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_11,2:GPU,Yes,1905.3,60.0,42.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_11,2:GPU,Yes,1905.3,44.8,37.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_11,2:GPU,Yes,1905.3,66.2,35.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_35,5:GPU,Yes,3629.1,92.0,74.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_35,5:GPU,Yes,3629.1,49.5,52.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_35,5:GPU,Yes,3629.1,88.7,69.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_35,5:GPU,Yes,3629.1,84.2,72.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_35,5:GPU,Yes,3629.1,64.8,58.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_35,5:GPU,Yes,3629.1,68.2,52.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_35,5:GPU,Yes,3629.1,83.7,51.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_35,5:GPU,Yes,3629.1,51.5,41.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_35,5:GPU,Yes,3629.1,51.7,38.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_35,5:GPU,Yes,3629.1,59.8,40.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_19,3:GPU,Yes,2477.8,92.0,74.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_19,3:GPU,Yes,2477.8,86.7,71.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_19,3:GPU,Yes,2477.8,87.7,64.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_19,3:GPU,Yes,2477.8,79.7,75.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_19,3:GPU,Yes,2477.8,56.7,54.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_19,3:GPU,Yes,2477.8,75.0,66.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_19,3:GPU,Yes,2477.8,63.2,53.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_19,3:GPU,Yes,2477.8,59.3,45.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_19,3:GPU,Yes,2477.8,48.0,39.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_19,3:GPU,Yes,2477.8,78.0,44.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_19,3:GPU,Yes,2477.8,61.2,37.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_3,1:GPU,Yes,1330.6,79.3,72.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_3,1:GPU,Yes,1330.6,86.3,69.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_3,1:GPU,Yes,1330.6,67.5,65.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_3,1:GPU,Yes,1330.6,79.7,67.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_3,1:GPU,Yes,1330.6,81.3,61.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_3,1:GPU,Yes,1330.6,49.8,59.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_3,1:GPU,Yes,1330.6,81.0,64.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_3,1:GPU,Yes,1330.6,58.0,47.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_3,1:GPU,Yes,1330.6,66.8,45.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_3,1:GPU,Yes,1330.6,61.0,40.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_3,1:GPU,Yes,1330.6,54.0,38.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_default,1:GPU,Yes,1401.9,73.0,65.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_default,1:GPU,Yes,1401.9,58.8,56.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_default,1:GPU,Yes,1401.9,53.5,55.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_default,1:GPU,Yes,1401.9,60.8,56.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_default,1:GPU,Yes,1401.9,63.2,66.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_default,1:GPU,Yes,1401.9,53.0,47.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_default,1:GPU,Yes,1401.9,57.0,41.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_default,1:GPU,Yes,1401.9,67.0,42.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_default,1:GPU,Yes,1401.9,41.3,35.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_18,3:GPU,Yes,2471.5,90.7,65.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_18,3:GPU,Yes,2471.5,92.0,67.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_18,3:GPU,Yes,2471.5,88.7,66.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_18,3:GPU,Yes,2471.5,88.3,67.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_18,3:GPU,Yes,2471.5,58.5,51.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_18,3:GPU,Yes,2471.5,41.5,45.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_18,3:GPU,Yes,2471.5,80.3,59.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_18,3:GPU,Yes,2471.5,40.2,48.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_18,3:GPU,Yes,2471.5,81.2,48.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_18,3:GPU,Yes,2471.5,52.5,38.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_18,3:GPU,Yes,2471.5,55.0,39.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_34,5:GPU,Yes,3618.6,92.7,65.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_34,5:GPU,Yes,3618.6,91.0,62.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_34,5:GPU,Yes,3618.6,83.2,63.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_34,5:GPU,Yes,3618.6,51.7,50.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_34,5:GPU,Yes,3618.6,59.8,51.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_34,5:GPU,Yes,3618.6,49.8,43.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_34,5:GPU,Yes,3618.6,73.7,51.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_34,5:GPU,Yes,3618.6,64.0,41.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_34,5:GPU,Yes,3618.6,61.0,41.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_26,4:GPU,Yes,3044.0,88.0,66.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_26,4:GPU,Yes,3044.0,84.7,64.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_26,4:GPU,Yes,3044.0,83.0,61.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_26,4:GPU,Yes,3044.0,62.7,51.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_26,4:GPU,Yes,3044.0,38.2,50.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_26,4:GPU,Yes,3044.0,81.8,52.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_26,4:GPU,Yes,3044.0,57.2,42.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_26,4:GPU,Yes,3044.0,79.8,45.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_26,4:GPU,Yes,3044.0,55.5,33.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_2,1:GPU,Yes,1328.5,65.2,53.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_2,1:GPU,Yes,1328.5,66.2,53.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_2,1:GPU,Yes,1328.5,63.0,53.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_2,1:GPU,Yes,1328.5,55.0,49.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_2,1:GPU,Yes,1328.5,65.0,49.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_2,1:GPU,Yes,1328.5,69.8,44.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_2,1:GPU,Yes,1328.5,62.3,39.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_2,1:GPU,Yes,1328.5,61.8,40.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_10,2:GPU,Yes,1901.1,54.5,55.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_10,2:GPU,Yes,1901.1,74.0,59.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_10,2:GPU,Yes,1901.1,66.0,54.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_10,2:GPU,Yes,1901.1,62.0,54.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_10,2:GPU,Yes,1901.1,50.7,45.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_10,2:GPU,Yes,1901.1,69.0,43.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_10,2:GPU,Yes,1901.1,73.5,42.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_10,2:GPU,Yes,1901.1,57.7,41.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_25,4:GPU,Yes,3033.5,92.7,57.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_25,4:GPU,Yes,3033.5,93.3,56.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_25,4:GPU,Yes,3033.5,91.7,56.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_25,4:GPU,Yes,3033.5,73.7,51.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_25,4:GPU,Yes,3033.5,77.2,51.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_25,4:GPU,Yes,3033.5,44.7,42.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_25,4:GPU,Yes,3033.5,45.8,42.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_25,4:GPU,Yes,3033.5,51.5,43.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_25,4:GPU,Yes,3033.5,47.8,37.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_25,4:GPU,Yes,3033.5,47.0,40.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_25,4:GPU,Yes,3033.5,41.0,36.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_1,1:GPU,Yes,1324.4,66.2,47.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_1,1:GPU,Yes,1324.4,68.2,48.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_1,1:GPU,Yes,1324.4,68.5,47.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_1,1:GPU,Yes,1324.4,64.0,46.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_1,1:GPU,Yes,1324.4,68.5,43.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_1,1:GPU,Yes,1324.4,51.0,38.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_1,1:GPU,Yes,1324.4,46.0,33.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_9,2:GPU,Yes,1894.8,88.0,54.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_9,2:GPU,Yes,1894.8,83.3,54.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_9,2:GPU,Yes,1894.8,85.5,56.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_9,2:GPU,Yes,1894.8,86.7,55.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_9,2:GPU,Yes,1894.8,83.2,51.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_9,2:GPU,Yes,1894.8,86.0,56.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_9,2:GPU,Yes,1894.8,54.8,43.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_9,2:GPU,Yes,1894.8,64.5,42.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_9,2:GPU,Yes,1894.8,54.8,43.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_9,2:GPU,Yes,1894.8,58.0,40.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_33,5:GPU,Yes,3606.1,91.0,52.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_33,5:GPU,Yes,3606.1,26.7,39.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_33,5:GPU,Yes,3606.1,56.0,44.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_33,5:GPU,Yes,3606.1,57.0,46.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_33,5:GPU,Yes,3606.1,60.8,44.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_33,5:GPU,Yes,3606.1,63.0,42.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_33,5:GPU,Yes,3606.1,69.0,43.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_33,5:GPU,Yes,3606.1,62.0,41.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_17,3:GPU,Yes,2463.1,82.7,54.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_17,3:GPU,Yes,2463.1,51.0,48.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_17,3:GPU,Yes,2463.1,88.0,53.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_17,3:GPU,Yes,2463.1,89.3,53.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_17,3:GPU,Yes,2463.1,87.7,48.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_17,3:GPU,Yes,2463.1,77.5,43.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_17,3:GPU,Yes,2463.1,59.0,40.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_16,3:GPU,Yes,2458.9,94.7,49.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_16,3:GPU,Yes,2458.9,90.0,48.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_16,3:GPU,Yes,2458.9,88.0,47.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_16,3:GPU,Yes,2458.9,83.2,46.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_16,3:GPU,Yes,2458.9,65.2,41.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_16,3:GPU,Yes,2458.9,60.0,37.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_0,1:GPU,Yes,1324.4,62.3,40.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_0,1:GPU,Yes,1324.4,70.8,42.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_0,1:GPU,Yes,1324.4,70.5,42.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_0,1:GPU,Yes,1324.4,62.7,40.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_0,1:GPU,Yes,1324.4,62.7,40.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_32,5:GPU,Yes,3599.8,90.8,48.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_32,5:GPU,Yes,3599.8,89.0,49.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_32,5:GPU,Yes,3599.8,71.8,47.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_32,5:GPU,Yes,3599.8,56.3,40.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_32,5:GPU,Yes,3599.8,58.0,42.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_32,5:GPU,Yes,3599.8,77.8,44.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_32,5:GPU,Yes,3599.8,55.7,40.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_32,5:GPU,Yes,3599.8,58.0,35.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_24,4:GPU,Yes,3029.3,86.8,47.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_24,4:GPU,Yes,3029.3,61.0,42.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_24,4:GPU,Yes,3029.3,60.3,41.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_24,4:GPU,Yes,3029.3,80.7,45.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_24,4:GPU,Yes,3029.3,62.7,36.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_8,2:GPU,Yes,1892.7,90.7,47.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_8,2:GPU,Yes,1892.7,88.7,47.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_8,2:GPU,Yes,1892.7,81.7,45.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_8,2:GPU,Yes,1892.7,59.8,41.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_8,2:GPU,Yes,1892.7,52.0,32.6

